13:43:43 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 32ms
13:43:44 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 24ms
13:45:40 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 144ms
13:45:40 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 69ms
13:45:40 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 36ms
13:45:40 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetHospitalSelectAsync (API) in 21ms
13:45:40 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 32ms
13:45:41 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 46ms
13:46:02 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 180ms
13:46:03 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetHospitalSelectAsync (API) in 22ms
