18:53:33 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 100ms
18:53:33 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 83ms
18:53:33 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 37ms
18:57:30 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 290ms
18:57:31 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 47ms
18:57:31 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 82ms
18:57:31 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 40ms
18:57:31 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 40ms
18:57:35 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 245ms
18:57:35 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 42ms
18:57:35 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 60ms
18:57:35 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 44ms
18:57:35 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 36ms
18:57:59 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 247ms
18:58:00 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 65ms
18:58:00 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 59ms
18:58:00 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 82ms
18:58:00 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 68ms
